ID,Title,Host,Type,Description,Length,Mode,"Year 1 New
Student Fee EU","Year 1 New
Student Fee
NEU","Year 2 New
Student Fee
EU","Year 2 New
Student Fee
NEU","Year 3 New
Student Fee
EU","Year 3 New
Student Fee
NEU"
1,Education,TCD,Ph.D (Structured),,NA,Full Time,4747 p.a,7884 p.a,,,,
2,Education,TCD,Ph.D (Structured),,NA,Part Time,4747 p.a,7884 p.a,,,,
3,Education,TCD,Ph.D (Research),,NA,Part Time,4747 p.a,7884 p.a,,,,
4,Professional Masters Education (P.M.E.),TCD,PME,,2,Full Time,6895 p.a,10659 p.a,,,,
5,Education,TCD,M.Ed,,1,Full Time,"7,988","12,850",,,,
6,Education,TCD,M.Ed,,2,Part Time,"5,169","8,277","7,103","11,375",,
7,Education,TCD,M.Ed,,3,Part Time,"2,584","4,136","2,584","4,136","7,103","11,375"
8,21st Century Teaching and Learning,TCD,PG.Cert,,1,Part Time,366,366,,,,
9,Business Administration (M.B.A.),TCD,M.Sc,,1,Full Time,"35,800","35,800",,,,
10,Business Administration (M.B.A.),TCD,M.Sc,,2,Part Time,"17,900","17,900","17,350","17,350",,
11,Digital Marketing Strategy,TCD,M.Sc,,1,Full Time,"14,950","20,100",,,,
12,Marketing,TCD,M.Sc,,1,Full Time,"14,950","20,100",,,,
13,Entrepreneurship,TCD,M.Sc,,1,Full Time,"14,950","20,100",,,,
14,Operations & Supply Chain Management,TCD,M.Sc,,1,Full Time,"14,950","20,100",,,,
15,Finance,TCD,M.Sc,,1,Full Time,"18,300","23,200",,,,
16,Financial Risk Management,TCD,M.Sc,,1,Full Time,"18,300","23,200",,,,
17,Accounting,TCD,PG. Dip,,1,Full Time,"10,800","16,000",,,,
18,Management,TCD,M.Sc,,1,Full Time,"14,950","20,100",,,,
19,International Management,TCD,M.Sc,,1,Full Time,"15,950","20,100",,,,
20,Human Resource Management,TCD,M.Sc,,1,Full Time,"14,950","20,100",,,,
21,Business Analytics,TCD,M.Sc,,1,Full Time,"14,950","20,100",,,,
22,International and Comparative Law,TCD,LL.M,,1,Full Time,"10,714","20,810",,,,
23,International and European Business Law,TCD,LL.M,,1,Full Time,"10,714","20,810",,,,
24,Intellectual Property and Information Technology Law,TCD,LL.M,,1,Full Time,"10,714","20,810",,,,
25,Law & Finance,TCD,M.Sc,,1,Full Time,"15,950","20,100",,,,
26,Law,TCD,M.Litt,,2,Full Time,6780 p.a,11364 p.a,,,,
27,Law,TCD,Ph.D,,4,Full Time,6780 p.a,11364 p.a,,,,
28,Film Studies,TCD,M.Phil,,1,Full Time,"9,370","19,996",,,,
29,Film Studies,TCD,M.Phil,,2,Part Time,6130 p.a,12867 p.a,,,,
30,Music Performance (RIAM),TCD,D.Mus.Perf.,,4,Validated,13000 p.a,24500 p.a,,,,
31,Music Performance (RIAM),TCD,M.Mus.Perf.,,2,Validated,10000 p.a,21000 p.a,,,,
32,Playwriting (LIR),TCD,M.F.A,,1,Full Time,"11,972","21,789",,,,
33,Playwriting (LIR),TCD,M.F.A,,2,Part Time,5987 p.a,11982 p.a,,,,
34,Stage Design (LIR),TCD,M.F.A,,1,Full Time,"11,972","21,789",,,,
35,Stage Design (LIR),TCD,M.F.A,,2,Part Time,5987 p.a,11982 p.a,,,,
36,Theatre Directing (LIR),TCD,M.F.A,,1,Full Time,"11,972","21,789",,,,
37,Theatre Directing (LIR),TCD,M.F.A,,2,Part Time,5987 p.a,11982 p.a,,,,
38,PhD in Drama or Music or Film,TCD,Ph.D,,6,Part Time,4747 p.a,7884 p.a,,,,
